date,Conflict,Disaster,Disease,Political/Social Unrest,Water Insecurity
20141125,1.0,0.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0
20141127,1.0,0.0,0.0,0.0,0.0
20141201,2.0,0.0,1.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0,0.0
20141208,0.0,0.0,1.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0
20141212,1.0,0.0,0.0,0.0,0.0
20141216,2.0,0.0,0.0,0.0,0.0
20141217,2.0,0.0,0.0,0.0,0.0
20141218,1.0,0.0,0.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0,0.0
