date,Conflict,Disaster,Fund,Political/Social Unrest,Water Insecurity
20140616,1.0,1.0,0.0,0.0,0.0
20140617,2.0,0.0,0.0,0.0,0.0
20140619,0.0,1.0,0.0,0.0,0.0
20140623,1.0,0.0,0.0,0.0,0.0
20140624,1.0,0.0,0.0,0.0,0.0
20140625,1.0,0.0,0.0,0.0,0.0
20140702,1.0,0.0,0.0,0.0,0.0
20140707,0.0,0.0,0.0,1.0,0.0
20140708,0.0,0.0,0.0,1.0,0.0
20140709,1.0,0.0,0.0,0.0,0.0
20140710,1.0,0.0,0.0,0.0,0.0
20140714,2.0,0.0,0.0,0.0,0.0
20140715,1.0,0.0,0.0,0.0,0.0
20140716,1.0,0.0,0.0,0.0,0.0
20140717,1.0,0.0,0.0,0.0,0.0
20140718,1.0,0.0,0.0,0.0,0.0
20140721,0.0,1.0,0.0,0.0,0.0
20140722,2.0,0.0,0.0,0.0,0.0
20140723,1.0,0.0,0.0,0.0,0.0
20140728,0.0,1.0,0.0,0.0,0.0
20140730,1.0,0.0,0.0,0.0,0.0
20140801,0.0,1.0,0.0,0.0,0.0
20140804,0.0,1.0,0.0,0.0,0.0
20140805,2.0,1.0,0.0,0.0,0.0
20140806,3.0,0.0,0.0,0.0,0.0
20140807,0.0,1.0,0.0,0.0,1.0
20140812,1.0,0.0,0.0,1.0,0.0
20140813,3.0,0.0,0.0,1.0,1.0
20140814,1.0,0.0,0.0,0.0,0.0
20140815,0.0,0.0,0.0,1.0,0.0
20140819,2.0,0.0,0.0,0.0,1.0
20140822,1.0,0.0,0.0,0.0,0.0
20140825,2.0,0.0,0.0,0.0,1.0
20140826,1.0,1.0,0.0,0.0,0.0
20140827,1.0,0.0,0.0,0.0,0.0
20140828,0.0,1.0,0.0,0.0,0.0
20140829,1.0,0.0,0.0,0.0,1.0
20140902,2.0,0.0,0.0,0.0,1.0
20140905,0.0,0.0,1.0,0.0,0.0
20140908,1.0,0.0,0.0,1.0,0.0
20140909,2.0,0.0,0.0,1.0,0.0
20140919,1.0,1.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0,0.0
20141008,1.0,0.0,0.0,0.0,0.0
20141014,1.0,0.0,0.0,0.0,0.0
20141015,0.0,0.0,0.0,1.0,0.0
20141016,2.0,0.0,0.0,0.0,0.0
20141020,0.0,1.0,0.0,0.0,0.0
20141021,1.0,0.0,0.0,0.0,0.0
20141022,1.0,0.0,0.0,0.0,0.0
20141027,1.0,0.0,0.0,0.0,0.0
20141103,1.0,0.0,0.0,0.0,1.0
20141104,1.0,0.0,0.0,0.0,0.0
20141105,1.0,1.0,0.0,0.0,0.0
20141114,1.0,0.0,0.0,0.0,0.0
20141118,1.0,0.0,0.0,0.0,0.0
20141124,1.0,1.0,0.0,0.0,0.0
20141125,1.0,0.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0
20141127,1.0,0.0,0.0,0.0,0.0
20141201,0.0,1.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0
20141212,2.0,0.0,0.0,0.0,0.0
20141215,1.0,0.0,0.0,0.0,0.0
20141216,2.0,0.0,0.0,0.0,0.0
20141217,1.0,0.0,0.0,0.0,0.0
20141218,1.0,0.0,0.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0,0.0
20141231,1.0,0.0,0.0,0.0,0.0
