date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political,Water Insecurity
20141118,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141205,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141212,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20141215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141216,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20141217,2.0,0.0,0.0,0.0,1.0,0.0,0.0
20141218,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141230,2.0,0.0,0.0,0.0,0.0,1.0,0.0
20141231,2.0,0.0,0.0,0.0,0.0,0.0,0.0
